Name,Id,Sexe,Resource,Role,ItemType,Starter,Item1,Item2,Item3,Item4,Item5,Item6
Olaf,Olaf,Male,,Top,Fighter,,3074,6333,2512,,,
Orianna,Orianna,Female,,Mid,Mage,,2503,3152,3157,,,
Ornn,Ornn,Male,,Top,Tank,,2502,2504,6676,,,
Pantheon,Pantheon,Male,,Jungle,Fighter,,6610,3071,3026,,,
Poppy,Poppy,Female,,Top,Tank,,6610,3119,2502,,,
Pyke,Pyke,Male,,Support,Assassin,,3179,3869,6696,,,
Qiyana,Qiyana,Female,,Jungle,Assassin,,6698,6699,6694,,,
Quinn,Quinn,Female,,Top,Assassin,,6698,3814,3036,,,
Rakan,Rakan,Male,,Support,Tank,,3050,3869,3190,,,
Rammus,Rammus,Male,,Jungle,Tank,,3075,2504,6665,,,
Rek'Sai,RekSai,Female,Fury,Jungle,Fighter,,3748,3161,3053,,,
Rell,Rell,Female,,Support,Tank,,3190,3869,3109,,,
Renata Glasc,Renata,Female,,Support,Support,,3190,3876,2065,,,
Renekton,Renekton,Male,Fury,Top,Fighter,,6692,3071,6333,,,
Rengar,Rengar,Male,Manaless,Jungle,Assassin,,3179,6698,3036,,,
Riven,Riven,Female,Manaless,Top,Fighter,,6696,6333,2517,,,
Rumble,Rumble,Male,Heat,Top,Mage,,6653,6676,3157,,,
Ryze,Ryze,Male,,Top,Mage,,6657,3003,2522,,,
Samira,Samira,Female,,Bot,Marksman,,6676,3031,3036;3033,,,
Sejuani,Sejuani,Female,,Jungle,Tank,,3084,2502,2504,,,
Senna,Senna,Female,,Bot,Marksman,,3087,3071,2523;3031,,,
Seraphine,Seraphine,Female,,Support,Support,,6620,3870,2526,,,
Sett,Sett,Male,Fury,Top,Tank,,6631,3071,2501,,,
Shaco,Shaco,Male,,Jungle,Assassin,,3179,6699,3036,,,
Shen,Shen,Male,Energy,Top,Tank,,3748,2510,3084,,,
Shyvana,Shyvana,Female,Fury,Jungle,Fighter,,3078,3161,6333,,,
Singed,Singed,Male,,Top,Tank,,6653,3116,3116,,,
Sion,Sion,Male,,Top,Tank,,2502,3065,3143,,,
Sivir,Sivir,Female,,Bot,Marksman,,3508;3032,3031,3036;3033;6675,,,
Skarner,Skarner,Male,,Jungle,Tank,,3084,2502,3065,,,
Smolder,Smolder,Male,,Bot,Marksman,,3508,3071,3161;3031,,,
Sona,Sona,Female,,Support,Support,,6620,3870,2526,,,
Soraka,Soraka,Female,,Support,Support,,6617,3869,3107,,,
Swain,Swain,Male,,Top,Mage,,3118,3116,3157,,,
Sylas,Sylas,Male,,Mid,Mage,,3152,4633,3157,,,
Syndra,Syndra,Female,,Mid,Mage,,2503,4629,3089,,,
Tahm Kench,TahmKench,Male,,Support,Tank,,3084,3869,3065,,,
Taliyah,Taliyah,Female,,Jungle,Mage,,2503,4629,3089,,,
Talon,Talon,Male,,Jungle,Assassin,,3179,6699,3814,,,
Taric,Taric,Male,,Support,Tank,,3190,3869,3109,,,
Teemo,Teemo,Male,,Top,Mage,,3100,6653,3118,,,
Thresh,Thresh,Male,,Support,Tank,,3190,3869,3109,,,
Tristana,Tristana,Female,,Bot,Marksman,,6676;2523,3031,3036;3033;6675,,,
Trundle,Trundle,Male,,Top,Fighter,,3074,3153,6333,,,
Tryndamere,Tryndamere,Male,Fury,Top,Fighter,,3074,3046,3031,,,
Twisted Fate,TwistedFate,Male,,Mid,Mage,,6657,3100,3094,,,
Twitch,Twitch,Male,,Bot,Marksman,,6676,2512;3031,2512;3031,,,
Udyr,Udyr,Male,Fury,Jungle,Fighter,,3161,6333,3053,,,
Urgot,Urgot,Male,,Top,Fighter,,3071,3053,4401,,,
Varus,Varus,Male,,Bot,Marksman,,3087,3124,3302,,,
Vayne,Vayne,Female,,Bot,Marksman,,6672;3073,3124,3302;3031,,,
Veigar,Veigar,Male,,Mid,Mage,,6655,3089,4646,,,
Vel'Koz,Velkoz,Male,,Mid,Mage,,2503,4628,3089,,,
Vex,Vex,Female,,Mid,Mage,,6655,4645,3089,,,
Vi,Vi,Female,,Jungle,Fighter,,3078,6610,6333,,,
Viego,Viego,Male,Manaless,Jungle,Fighter,,6672,6676,3036,,,
Viktor,Viktor,Male,,Mid,Mage,,2503,3152,3089,,,
Vladimir,Vladimir,Male,Fury,Top,Mage,,3152,4633,3089,,,
Volibear,Volibear,Male,,Top,Fighter,,2510,6675,3181,,,
Warwick,Warwick,Male,,Jungle,Fighter,,3153,6333,3156,,,
Wukong,MonkeyKing,Male,,Jungle,Fighter,,3078,6610,6333,,,
Xayah,Xayah,Female,,Bot,Marksman,,3508,6675,3031,,,
Xerath,Xerath,Male,,Mid,Mage,,6655,4645,3089,,,
Xin Zhao,XinZhao,Male,,Jungle,Fighter,,6610,3071,6333,,,
Yasuo,Yasuo,Male,Manaless,Bot,Marksman,,6672,6673,3031,,,
Yone,Yone,Male,Manaless,Top,Fighter,,3153,6673,3036,,,
Yorick,Yorick,Male,,Top,Fighter,,3078,3161,6694,,,
Yunara,Yunara,Female,,Bot,Marksman,,6672,2512;3031,3031;2512,,,
Yuumi,Yuumi,Female,,Support,Support,,3222,3870,3504,,,
Zaahen,Zaahen,Male,,Top,Fighter,,3078,6631,6333,,,
Zac,Zac,Male,Manaless,Jungle,Tank,,3152,3068,3065,,,
Zed,Zed,Male,Energy,Jungle,Assassin,,6699,6696,3814,,,
Zeri,Zeri,Female,,Bot,Marksman,,3097,3085;2512,3031;2512,,,
Ziggs,Ziggs,Male,,Mid,Mage,,6655,4645,3089,,,
Zilean,Zilean,Male,,Support,Support,,2065,3869,3222,,,
Zoe,Zoe,Female,,Mid,Mage,,6655,3100,4645,,,
Zyra,Zyra,Female,,Jungle,Mage,,6653,4645,3157,,,
