ItemId,ItemName,Category,Marksman,Fighter,Assassin,Mage,Tank,Support
3145,Alternateur Hextech,Epic,,,,1,,
3146,Pistolame Hextech,Legendary,,,1,1,,
3147,Déguisement hanté,Epic,,,,1,,
3152,Ceinture-roquette Hextech,Legendary,,,,1,,
3153,Lame du roi déchu,Legendary,1,1,,,,
3155,Hexterminateur,Epic,1,1,1,,,
3156,Gueule de Malmortius,Legendary,1,1,1,,,
3157,Sablier de Zhonya,Legendary,,,,1,,
3158,Bottes de lucidité,Boot,1,1,1,1,1,1
3161,Lance de Shojin,Legendary,,1,,,,
3165,Morellonomicon,Legendary,,,,1,,1
3168,Voie immortelle,Boot,,,,,,
3170,Célérité martiale,Boot,,,,,,
3171,Lucidité pourpre,Boot,,,,1,,
3172,Jambières de métal,Boot,,,,,,
3173,Broyeuses à chaînes,Boot,,,,1,,
3174,Avancée blindée,Boot,,,,,,
3175,Chaussures de lanceur de sorts,Boot,,,,1,,
3179,Glaive d'ombre,Legendary,,,,,,
3181,Brise-coques,Legendary,,1,,,,
3184,Marteau du gardien,Legendary,,,,,,
3190,Médaillon de l'Iron Solari,Legendary,,,,,1,1
3211,Manteau de spectre,Epic,,,,,1,
322065,Chant de guerre de Shurelya,Legendary,,,,,,1
3222,Bénédiction de Mikael,Legendary,,,,,,1
322526,Diadème des murmures,Legendary,,,,,,1
323003,Bâton de l'archange,Legendary,,,,1,,
323004,Manamune,Legendary,1,1,1,,,
323050,Convergence de Zeke,Legendary,,,,,1,1
323070,Larme de la déesse,Starter,,,,,,
323075,Cotte épineuse,Legendary,,,,,1,1
323107,Rédemption,Legendary,,,,,,1
323109,Vœu du chevalier,Legendary,,,,,1,1
323110,Cœur gelé,Legendary,,,,,1,1
323119,Approche de l'hiver,Legendary,,,,,1,
323190,Médaillon de l'Iron Solari,Legendary,,,,,1,1
323222,Bénédiction de Mikael,Legendary,,,,,,1
323504,Encensoir ardent,Legendary,,,,,,1
324005,Mandat impérial,Legendary,,,,1,,1
326616,Bâton des flots,Legendary,,,,,,1
326617,Régénérateur de pierre de lune,Legendary,,,,,,1
326620,Échos d'Helia,Legendary,,,,,,1
326621,Cœur de l'aube,Legendary,,,,,,1
326657,Bâton séculaire,Legendary,,,,1,,
328020,Masque abyssal,Legendary,,,,,1,1
3302,Terminus,Legendary,1,1,,,,
3340,Balise camouflée,Trinket,,,,,,
3363,Altération divinatoire,Trinket,,,,,,
3364,Brouilleur oraculaire,Trinket,,,,,,
3504,Encensoir ardent,Legendary,,,,,,1
3508,Faux spectrale,Legendary,1,,,,,
3742,Plaque du mort,Legendary,,1,,,1,
3748,Hydre titanesque,Legendary,,1,,,1,
3801,Bracelet cristallin,Epic,,,,,,
3802,Chapitre perdu,Epic,,,,,,
3803,Catalyseur de l'éternité,Epic,,,,1,1,
3814,Manteau de la nuit,Legendary,,,1,,,
3865,Atlas,Starter,,,,,,1
3869,Opposition céleste,Legendary,,,,,,1
3870,Rêve éveillé,Legendary,,,,,,1
3871,Pique dimensionnelle de Zaz'Zak,Legendary,,,,,,1
3876,Traîneau du solstice,Legendary,,,,,,1
3877,Mélodie du sang,Legendary,,,,,,1
3916,Orbe de l'oubli,Epic,,,,1,,1
4005,Mandat impérial,Legendary,,,,,,1
4401,Force de la nature,Legendary,,,,,1,
4628,Concentration lointaine,Legendary,,,,1,,
4629,Volonté cosmique,Legendary,,,,1,,
4630,Joyau putréfiant,Epic,,,,1,,
4632,Barrière verdoyante,Epic,,,,1,,
4633,Créateur de failles,Legendary,,,,1,,
4642,Miroir en verre de Bandle,Epic,,,,,,1
4645,Flamme-ombre,Legendary,,,,1,,
4646,Onde orageuse,Legendary,,,,1,,
6333,Danse de la mort,Legendary,,1,,,,
6609,Épée dentelée chimico-punk,Legendary,,1,1,,,
6610,Ciel éventré,Legendary,,1,,,,
6616,Bâton des flots,Legendary,,,,,,1
6617,Régénérateur de pierre de lune,Legendary,,,,,,1
6620,Échos d'Helia,Legendary,,,,,,1
6621,Cœur de l'aube,Legendary,,,,,,1
6631,Estropieur,Legendary,,1,,,,
663146,Pistolame Hextech,Legendary,,,1,1,,
6653,Tourment de Liandry,Legendary,,,,1,,
6655,Écho de Luden,Legendary,,,,1,,
6657,Bâton séculaire,Legendary,,,,1,,
6660,Cendres de Bami,Epic,,,,,1,
6662,Gantelet givrant,Legendary,,1,,,,
6664,Rayonnement du vide,Legendary,,,,,1,
6665,Jak'Sho le Protéiforme,Legendary,,,,,1,
6670,Carquois zénithien,Epic,1,,,,,
6672,Tueur de krakens,Legendary,1,,,,,
6673,Arc-bouclier immortel,Legendary,1,,,,,
6675,Tremblelame navori,Legendary,1,,,,,
6676,Percepteur,Legendary,1,,1,,,
6690,Rectrix,Epic,1,1,1,,,
6692,Éclipse,Legendary,,1,,,,
6694,Rancune de Serylda,Legendary,,,1,,,
6695,Crochet de serpent,Legendary,,,1,,,
6696,Arc axiomatique,Legendary,,,1,,,
6697,Orgueil,Legendary,,,1,,,
6698,Hydre profane,Legendary,,,1,,,
6699,Cyclosabre voltaïque,Legendary,,,1,,,
8010,Malédiction du sanguinaire,Legendary,,,,1,,
8020,Masque abyssal,Legendary,,,,1,,1,,,,,,
